"","sale.date","sales.rep","rep.sex","rep.region","rep.feedback","wine","type","cost","unit.price","units.sold","recipt","expenses","year"
"3802",2010-01-17,"Yolando Galicia",0,"North",6,"Chardonnay","white",3.15,11.45,16,183.2,5.63,2010
"2136",2010-01-17,"Bianca Suchan",0,"West",7,"Chardonnay","white",3.15,10.5,13,136.5,6.2424,2010
"1189",2010-01-18,"Kym Velarde",0,"East",7,"Shiraz","red",6.051,20.17,11,221.87,9.1035,2010
"2901",2010-01-18,"Jewel Copas",1,"South",5,"Pinot Gris","white",3.741,12.35,12,148.2,6.194,2010
"7113",2010-01-18,"Deloras Mcfetridge",0,"West",8,"Merlot","red",2.229,7.43,14,104.02,4.794,2010
"3830",2010-01-19,"Aiko Hamsher",0,"East",6,"Merlot","red",2.229,7.43,18,133.74,5.124,2010
"7997",2010-01-19,"Eura Begay",0,"North",6,"Chardonnay","white",3.15,11.45,32,366.4,7.21,2010
"1936",2010-01-19,"Shameka Mertes",0,"North",5,"Chardonnay","white",3.15,11.45,23,263.35,5.66,2010
"8334",2010-01-19,"Mamie Fullington",0,"South",6,"Chardonnay","white",3.15,10.38,11,114.18,5.1585,2010
"5383",2010-01-19,"Bianca Suchan",0,"West",8,"Cabernet Sauvignon","red",3.624,12.08,20,241.6,8.1294,2010
"243",2010-01-19,"Lesia Belt",0,"West",6,"Pinot Gris","white",3.741,12.47,11,137.17,6.0588,2010
"3620",2010-01-20,"Ben Gerry",1,"East",5,"Chardonnay","white",3.15,10.5,19,199.5,6.699,2010
"1442",2010-01-20,"Clement Arias",1,"North",5,"Chardonnay","white",3.15,11.45,19,217.55,6.31,2010
"946",2010-01-20,"Clement Arias",1,"North",7,"Pinot Gris","white",3.741,13.42,16,214.72,7.24,2010
"6050",2010-01-20,"Shameka Mertes",0,"North",6,"Sauvignon Blanc","white",2.697,9.94,21,208.74,6.17,2010
"758",2010-01-21,"Lolita Wass",0,"Central",5,"Pinot Gris","white",3.741,12.04,5,60.2,6.15,2010
"1063",2010-01-21,"Aiko Hamsher",0,"East",5,"Cabernet Sauvignon","red",3.624,12.08,19,229.52,6.993,2010
"6518",2010-01-21,"Kym Velarde",0,"East",5,"Cabernet Sauvignon","red",3.624,12.08,14,169.12,7.812,2010
"4849",2010-01-21,"Lavera Mccallie",0,"South",3,"Chardonnay","white",3.15,10.38,21,217.98,5.5765,2010
"4057",2010-01-21,"Bianca Suchan",0,"West",8,"Merlot","red",2.229,7.43,16,118.88,4.6104,2010
"6299",2010-01-21,"Bianca Suchan",0,"West",5,"Merlot","red",2.229,7.43,16,118.88,3.7536,2010
"3689",2010-01-21,"Deloras Mcfetridge",0,"West",4,"Chardonnay","white",3.15,10.5,19,199.5,6.222,2010
"3847",2010-01-22,"Aiko Hamsher",0,"East",4,"Chardonnay","white",3.15,10.5,4,42,5.3865,2010
"3410",2010-01-22,"Aiko Hamsher",0,"East",5,"Merlot","red",2.229,7.43,12,89.16,4.011,2010
"9030",2010-01-22,"Ben Gerry",1,"East",5,"Chardonnay","white",3.15,10.5,24,252,6.2895,2010
"5572",2010-01-22,"Kym Velarde",0,"East",6,"Merlot","red",2.229,7.43,40,297.2,6.216,2010
"5013",2010-01-22,"Jewel Copas",1,"South",7,"Merlot","red",2.229,7.31,12,87.72,3.3345,2010
"2455",2010-01-22,"Jewel Copas",1,"South",6,"Pinot Gris","white",3.741,12.35,15,185.25,5.7665,2010
"6304",2010-01-22,"Jewel Copas",1,"South",5,"Sauvignon Blanc","white",2.697,8.87,11,97.57,4.4175,2010
"5310",2010-01-22,"Lavera Mccallie",0,"South",6,"Chardonnay","white",3.15,10.38,20,207.6,5.434,2010
"2291",2010-01-22,"Tori Hastie",0,"South",7,"Chardonnay","white",3.15,10.38,8,83.04,4.579,2010
"3433",2010-01-22,"Lesia Belt",0,"West",7,"Merlot","red",2.229,7.43,5,37.15,3.8046,2010
"1096",2010-01-23,"Aiko Hamsher",0,"East",4,"Cabernet Sauvignon","red",3.624,12.08,13,157.04,7.1715,2010
"6000",2010-01-23,"Kym Velarde",0,"East",4,"Merlot","red",2.229,7.43,19,141.17,4.6515,2010
"8439",2010-01-23,"Shameka Mertes",0,"North",5,"Cabernet Sauvignon","red",3.624,13.03,18,234.54,6.99,2010
"1539",2010-01-23,"Jewel Copas",1,"South",5,"Merlot","red",2.229,7.31,21,153.51,5.2345,2010
"7890",2010-01-23,"Mamie Fullington",0,"South",7,"Pinot Gris","white",3.741,12.35,15,185.25,6.9445,2010
"5717",2010-01-23,"Tori Hastie",0,"South",6,"Chardonnay","white",3.15,10.38,27,280.26,7.163,2010
"6826",2010-01-24,"Nilda Hypolite",0,"Central",7,"Sauvignon Blanc","white",2.697,8.56,15,128.4,4.32,2010
"5073",2010-01-24,"Aiko Hamsher",0,"East",5,"Riesling","white",2.097,6.99,8,55.92,4.137,2010
"38",2010-01-24,"Clement Arias",1,"North",5,"Cabernet Sauvignon","red",3.624,13.03,9,117.27,6.62,2010
"2471",2010-01-24,"Shameka Mertes",0,"North",7,"Chardonnay","white",3.15,11.45,19,217.55,6.72,2010
"523",2010-01-24,"Lavera Mccallie",0,"South",5,"Merlot","red",2.229,7.31,14,102.34,3.99,2010
"9619",2010-01-25,"Jewel Copas",1,"South",6,"Merlot","red",2.229,7.31,27,197.37,5.6715,2010
"2358",2010-01-25,"Bianca Suchan",0,"West",6,"Merlot","red",2.229,7.43,18,133.74,4.9572,2010
"7785",2010-01-25,"Deloras Mcfetridge",0,"West",5,"Cabernet Sauvignon","red",3.624,12.08,11,132.88,6.9156,2010
"9831",2010-01-26,"Aiko Hamsher",0,"East",5,"Pinot Gris","white",3.741,12.47,11,137.17,6.4995,2010
"5724",2010-01-26,"Karry Noell",0,"East",5,"Chardonnay","white",3.15,10.5,12,126,5.3865,2010
"3917",2010-01-26,"Kym Velarde",0,"East",4,"Cabernet Sauvignon","red",3.624,12.08,17,205.36,6.678,2010
"9481",2010-01-26,"Clement Arias",1,"North",7,"Cabernet Sauvignon","red",3.624,13.03,12,156.36,5.31,2010
"7368",2010-01-26,"Clement Arias",1,"North",7,"Riesling","white",2.097,7.94,14,111.16,4.94,2010
"3562",2010-01-26,"Eura Begay",0,"North",6,"Sauvignon Blanc","white",2.697,9.94,12,119.28,4.56,2010
"1634",2010-01-26,"Lavera Mccallie",0,"South",6,"Cabernet Sauvignon","red",3.624,11.96,9,107.64,6.308,2010
"8250",2010-01-26,"Bianca Suchan",0,"West",6,"Pinot Gris","white",3.741,12.47,7,87.29,5.8956,2010
"4358",2010-01-26,"Deloras Mcfetridge",0,"West",5,"Chardonnay","white",3.15,10.5,16,168,5.508,2010
"9706",2010-01-26,"Lesia Belt",0,"West",6,"Pinot Gris","white",3.741,12.47,13,162.11,6.069,2010
"6701",2010-01-27,"Virgilio Mcelligott",1,"Central",4,"Chardonnay","white",3.15,10.07,23,231.61,6.16,2010
"551",2010-01-27,"Aiko Hamsher",0,"East",5,"Merlot","red",2.229,7.43,15,111.45,4.599,2010
"5713",2010-01-27,"Clement Arias",1,"North",7,"Merlot","red",2.229,8.38,20,167.6,5.31,2010
"6498",2010-01-27,"Eura Begay",0,"North",6,"Merlot","red",2.229,8.38,26,217.88,6.55,2010
"4395",2010-01-27,"Jewel Copas",1,"South",6,"Merlot","red",2.229,7.31,26,190.06,5.0825,2010
"2543",2010-01-27,"Jewel Copas",1,"South",7,"Riesling","white",2.097,6.87,31,212.97,4.997,2010
"7295",2010-01-27,"Tori Hastie",0,"South",3,"Merlot","red",2.229,7.31,9,65.79,3.2585,2010
"9052",2010-01-28,"Karry Noell",0,"East",6,"Sauvignon Blanc","white",2.697,8.99,11,98.89,5.334,2010
"9598",2010-01-28,"Shameka Mertes",0,"North",6,"Cabernet Sauvignon","red",3.624,13.03,28,364.84,8.34,2010
"3412",2010-01-29,"Tori Hastie",0,"South",5,"Merlot","red",2.229,7.31,15,109.65,4.4935,2010
"4344",2010-01-30,"Dannette Saltsman",0,"Central",5,"Merlot","red",2.229,7,20,140,5.05,2010
"4537",2010-01-30,"Nilda Hypolite",0,"Central",5,"Riesling","white",2.097,6.56,13,85.28,3.86,2010
"5980",2010-01-30,"Nilda Hypolite",0,"Central",7,"Shiraz","red",6.051,19.74,8,157.92,10.14,2010
"7438",2010-01-30,"Aiko Hamsher",0,"East",4,"Merlot","red",2.229,7.43,14,104.02,4.6095,2010
"3350",2010-01-30,"Ben Gerry",1,"East",5,"Pinot Gris","white",3.741,12.47,17,211.99,7.7175,2010
"2369",2010-01-30,"Karry Noell",0,"East",5,"Merlot","red",2.229,7.43,22,163.46,5.04,2010
"1643",2010-01-30,"Clement Arias",1,"North",7,"Chardonnay","white",3.15,11.45,17,194.65,6.09,2010
"8350",2010-01-30,"Clement Arias",1,"North",6,"Merlot","red",2.229,8.38,20,167.6,5.93,2010
"8544",2010-01-30,"Tori Hastie",0,"South",7,"Pinot Gris","white",3.741,12.35,42,518.7,7.98,2010
"9659",2010-01-31,"Karry Noell",0,"East",6,"Merlot","red",2.229,7.43,11,81.73,4.3575,2010
"3456",2010-01-31,"Eura Begay",0,"North",4,"Shiraz","red",6.051,21.12,7,147.84,11.42,2010
"7526",2010-01-31,"Vicki Kilkenny",0,"West",5,"Sauvignon Blanc","white",2.697,8.99,5,44.95,4.4982,2010
"1412",2010-02-01,"Dannette Saltsman",0,"Central",4,"Sauvignon Blanc","white",2.697,8.56,25,214,6.23,2010
"692",2010-02-01,"Virgilio Mcelligott",1,"Central",5,"Chardonnay","white",3.15,10.07,9,90.63,5.71,2010
"245",2010-02-01,"Virgilio Mcelligott",1,"Central",5,"Merlot","red",2.229,7,10,70,3.99,2010
"7137",2010-02-01,"Aiko Hamsher",0,"East",6,"Merlot","red",2.229,7.43,19,141.17,5.6805,2010
"2880",2010-02-01,"Kym Velarde",0,"East",5,"Merlot","red",2.229,7.43,13,96.59,4.452,2010
"9391",2010-02-01,"Tori Hastie",0,"South",6,"Cabernet Sauvignon","red",3.624,11.96,17,203.32,6.2035,2010
"6728",2010-02-02,"Nilda Hypolite",0,"Central",6,"Riesling","white",2.097,6.56,41,268.96,6.76,2010
"7301",2010-02-02,"Deloras Mcfetridge",0,"West",5,"Cabernet Sauvignon","red",3.624,12.08,13,157.04,6.8748,2010
"114",2010-02-03,"Dannette Saltsman",0,"Central",5,"Cabernet Sauvignon","red",3.624,11.65,6,69.9,5.63,2010
"4078",2010-02-03,"Nilda Hypolite",0,"Central",7,"Chardonnay","white",3.15,10.07,20,201.4,5.98,2010
"76",2010-02-03,"Aiko Hamsher",0,"East",10,"Shiraz","red",6.051,20.17,15,302.55,10.836,2010
"8105",2010-02-03,"Eura Begay",0,"North",5,"Chardonnay","white",3.15,11.45,10,114.5,5.45,2010
"1708",2010-02-03,"Tori Hastie",0,"South",7,"Chardonnay","white",3.15,10.38,16,166.08,5.5955,2010
"4547",2010-02-03,"Vicki Kilkenny",0,"West",5,"Chardonnay","white",3.15,10.5,24,252,6.9768,2010
"943",2010-02-04,"Aiko Hamsher",0,"East",6,"Merlot","red",2.229,7.43,18,133.74,4.788,2010
"1771",2010-02-04,"Aiko Hamsher",0,"East",6,"Merlot","red",2.229,7.43,13,96.59,4.2525,2010
"2992",2010-02-04,"Aiko Hamsher",0,"East",5,"Merlot","red",2.229,7.43,8,59.44,4.2525,2010
"3126",2010-02-04,"Eura Begay",0,"North",7,"Merlot","red",2.229,8.38,28,234.64,5.48,2010
"6593",2010-02-04,"Yolando Galicia",0,"North",5,"Merlot","red",2.229,8.38,13,108.94,4.61,2010
"6411",2010-02-05,"Karry Noell",0,"East",7,"Sauvignon Blanc","white",2.697,8.99,17,152.83,5.46,2010
"3819",2010-02-05,"Kym Velarde",0,"East",4,"Merlot","red",2.229,7.43,23,170.89,4.8615,2010
"5558",2010-02-05,"Eura Begay",0,"North",6,"Cabernet Sauvignon","red",3.624,13.03,28,364.84,8.23,2010
"378",2010-02-05,"Jewel Copas",1,"South",6,"Shiraz","red",6.051,20.05,5,100.25,10.564,2010
"2435",2010-02-05,"Deloras Mcfetridge",0,"West",6,"Pinot Gris","white",3.741,12.47,5,62.35,6.4362,2010
"6268",2010-02-05,"Lesia Belt",0,"West",4,"Cabernet Sauvignon","red",3.624,12.08,10,120.8,5.9364,2010
"3441",2010-02-06,"Nilda Hypolite",0,"Central",8,"Riesling","white",2.097,6.56,16,104.96,4.8,2010
"1580",2010-02-06,"Aiko Hamsher",0,"East",6,"Chardonnay","white",3.15,10.5,15,157.5,6.321,2010
"7981",2010-02-06,"Aiko Hamsher",0,"East",6,"Chardonnay","white",3.15,10.5,20,210,6.93,2010
"6546",2010-02-06,"Ben Gerry",1,"East",7,"Pinot Gris","white",3.741,12.47,16,199.52,7.476,2010
"2127",2010-02-06,"Karry Noell",0,"East",8,"Cabernet Sauvignon","red",3.624,12.08,23,277.84,7.938,2010
"6395",2010-02-06,"Karry Noell",0,"East",6,"Pinot Gris","white",3.741,12.47,26,324.22,7.9065,2010
"8330",2010-02-06,"Tori Hastie",0,"South",7,"Sauvignon Blanc","white",2.697,8.87,10,88.7,4.978,2010
"9407",2010-02-06,"Bianca Suchan",0,"West",5,"Pinot Gris","white",3.741,12.47,16,199.52,7.7622,2010
"7901",2010-02-07,"Lolita Wass",0,"Central",7,"Chardonnay","white",3.15,10.07,4,40.28,5.32,2010
"1288",2010-02-07,"Nilda Hypolite",0,"Central",5,"Merlot","red",2.229,7,10,70,4.31,2010
"2010",2010-02-07,"Aiko Hamsher",0,"East",6,"Merlot","red",2.229,7.43,24,178.32,5.355,2010
"9675",2010-02-07,"Kym Velarde",0,"East",7,"Sauvignon Blanc","white",2.697,8.99,7,62.93,4.872,2010
"7619",2010-02-08,"Jewel Copas",1,"South",7,"Pinot Gris","white",3.741,12.35,19,234.65,5.852,2010
"4921",2010-02-08,"Mamie Fullington",0,"South",7,"Merlot","red",2.229,7.31,4,29.24,3.2395,2010
"3935",2010-02-09,"Virgilio Mcelligott",1,"Central",6,"Pinot Gris","white",3.741,12.04,8,96.32,6.37,2010
"9930",2010-02-09,"Aiko Hamsher",0,"East",6,"Shiraz","red",6.051,20.17,14,282.38,10.2375,2010
"425",2010-02-09,"Kym Velarde",0,"East",5,"Merlot","red",2.229,7.43,24,178.32,5.733,2010
"5063",2010-02-09,"Yolando Galicia",0,"North",6,"Chardonnay","white",3.15,11.45,25,286.25,7.34,2010
"395",2010-02-10,"Eura Begay",0,"North",4,"Pinot Gris","white",3.741,13.42,18,241.56,7.92,2010
"4326",2010-02-10,"Bianca Suchan",0,"West",7,"Merlot","red",2.229,7.43,6,44.58,3.9678,2010
"8092",2010-02-10,"Bianca Suchan",0,"West",5,"Merlot","red",2.229,7.43,25,185.75,5.4978,2010
"2606",2010-02-11,"Aiko Hamsher",0,"East",6,"Merlot","red",2.229,7.43,9,66.87,4.452,2010
"3447",2010-02-11,"Jewel Copas",1,"South",5,"Merlot","red",2.229,7.31,13,95.03,3.9235,2010
"1705",2010-02-11,"Mamie Fullington",0,"South",5,"Chardonnay","white",3.15,10.38,21,217.98,5.7475,2010
"766",2010-02-11,"Bianca Suchan",0,"West",7,"Merlot","red",2.229,7.43,12,89.16,5.1816,2010
"3138",2010-02-11,"Vicki Kilkenny",0,"West",5,"Merlot","red",2.229,7.43,27,200.61,5.7324,2010
"5125",2010-02-12,"Clement Arias",1,"North",5,"Merlot","red",2.229,8.38,13,108.94,3.8,2010
"1520",2010-02-12,"Shameka Mertes",0,"North",6,"Merlot","red",2.229,8.38,8,67.04,3.85,2010
"318",2010-02-12,"Jewel Copas",1,"South",7,"Merlot","red",2.229,7.31,12,87.72,4.5125,2010
"1742",2010-02-12,"Lesia Belt",0,"West",6,"Pinot Gris","white",3.741,12.47,14,174.58,6.8034,2010
"2385",2010-02-12,"Vicki Kilkenny",0,"West",5,"Cabernet Sauvignon","red",3.624,12.08,6,72.48,5.865,2010
"8319",2010-02-13,"Clement Arias",1,"North",6,"Merlot","red",2.229,8.38,24,201.12,4.94,2010
"590",2010-02-13,"Eura Begay",0,"North",6,"Pinot Gris","white",3.741,13.42,15,201.3,6.49,2010
"8055",2010-02-13,"Yolando Galicia",0,"North",6,"Chardonnay","white",3.15,11.45,19,217.55,7.07,2010
"2676",2010-02-13,"Tori Hastie",0,"South",5,"Merlot","red",2.229,7.31,10,73.1,3.724,2010
"2609",2010-02-14,"Virgilio Mcelligott",1,"Central",7,"Cabernet Sauvignon","red",3.624,11.65,14,163.1,6.32,2010
